Price per carat,Clarity,Colour,CO,Month,Year,Size
8136.75,VVS,E-F,E-F,Jan,2017,1.01-1.09
6723.75,VS,E-F,E-F,Jan,2017,1.01-1.09
4830.5,SI,E-F,E-F,Jan,2017,1.01-1.09
3092.75,I1,E-F,E-F,Jan,2017,1.01-1.09
5683.666667,VVS,G-I,G-I,Jan,2017,1.01-1.09
5039.666667,VS,G-I,G-I,Jan,2017,1.01-1.09
3937.166667,SI,G-I,G-I,Jan,2017,1.01-1.09
2733.666667,I1,G-I,G-I,Jan,2017,1.01-1.09
2706.75,VVS,L-M,J-M,Jan,2017,1.01-1.09
2510,VS,L-M,J-M,Jan,2017,1.01-1.09
2167.75,SI,L-M,J-M,Jan,2017,1.01-1.09
1709.25,I1,L-M,J-M,Jan,2017,1.01-1.09
11069.25,VVS,E-F,E-F,Jan,2017,1.5-1.69
8745.75,VS,E-F,E-F,Jan,2017,1.5-1.69
6223.75,SI,E-F,E-F,Jan,2017,1.5-1.69
3611.25,I1,E-F,E-F,Jan,2017,1.5-1.69
7177.333333,VVS,G-I,G-I,Jan,2017,1.5-1.69
6450.166667,VS,G-I,G-I,Jan,2017,1.5-1.69
5238.333333,SI,G-I,G-I,Jan,2017,1.5-1.69
3173.833333,I1,G-I,G-I,Jan,2017,1.5-1.69
3177.5,VVS,L-M,J-M,Jan,2017,1.5-1.69
2893.5,VS,L-M,J-M,Jan,2017,1.5-1.69
2554.25,SI,L-M,J-M,Jan,2017,1.5-1.69
1965,I1,L-M,J-M,Jan,2017,1.5-1.69
16685,VVS,E-F,E-F,Jan,2017,2.01-2.09
12486.25,VS,E-F,E-F,Jan,2017,2.01-2.09
8231.25,SI,E-F,E-F,Jan,2017,2.01-2.09
4300.5,I1,E-F,E-F,Jan,2017,2.01-2.09
10497.5,VVS,G-I,G-I,Jan,2017,2.01-2.09
8869.833333,VS,G-I,G-I,Jan,2017,2.01-2.09
6609.166667,SI,G-I,G-I,Jan,2017,2.01-2.09
3854,I1,G-I,G-I,Jan,2017,2.01-2.09
4350,VVS,L-M,J-M,Jan,2017,2.01-2.09
3780,VS,L-M,J-M,Jan,2017,2.01-2.09
3165.75,SI,L-M,J-M,Jan,2017,2.01-2.09
2194.25,I1,L-M,J-M,Jan,2017,2.01-2.09
3505.5,VVS,J-K,J-M,Jan,2017,1.01-1.09
3275.5,VS,J-K,J-M,Jan,2017,1.01-1.09
2816.25,SI,J-K,J-M,Jan,2017,1.01-1.09
1999.5,I1,J-K,J-M,Jan,2017,1.01-1.09
4462,VVS,J-K,J-M,Jan,2017,1.5-1.69
4062.25,VS,J-K,J-M,Jan,2017,1.5-1.69
3502.75,SI,J-K,J-M,Jan,2017,1.5-1.69
2390.75,I1,J-K,J-M,Jan,2017,1.5-1.69
6095,VVS,J-K,J-M,Jan,2017,2.01-2.09
5171.25,VS,J-K,J-M,Jan,2017,2.01-2.09
4331.25,SI,J-K,J-M,Jan,2017,2.01-2.09
2914.75,I1,J-K,J-M,Jan,2017,2.01-2.09
7985.75,VVS,E-F,E-F,Feb,2017,1.01-1.09
6579,VS,E-F,E-F,Feb,2017,1.01-1.09
4778.5,SI,E-F,E-F,Feb,2017,1.01-1.09
3092.75,I1,E-F,E-F,Feb,2017,1.01-1.09
5580.833333,VVS,G-I,G-I,Feb,2017,1.01-1.09
4986.333333,VS,G-I,G-I,Feb,2017,1.01-1.09
3977,SI,G-I,G-I,Feb,2017,1.01-1.09
2733.666667,I1,G-I,G-I,Feb,2017,1.01-1.09
2706.75,VVS,L-M,J-M,Feb,2017,1.01-1.09
2482.75,VS,L-M,J-M,Feb,2017,1.01-1.09
2153,SI,L-M,J-M,Feb,2017,1.01-1.09
1709.25,I1,L-M,J-M,Feb,2017,1.01-1.09
10976.25,VVS,E-F,E-F,Feb,2017,1.5-1.69
8646.25,VS,E-F,E-F,Feb,2017,1.5-1.69
6176.25,SI,E-F,E-F,Feb,2017,1.5-1.69
3611.25,I1,E-F,E-F,Feb,2017,1.5-1.69
7158.666667,VVS,G-I,G-I,Feb,2017,1.5-1.69
6402,VS,G-I,G-I,Feb,2017,1.5-1.69
5218.666667,SI,G-I,G-I,Feb,2017,1.5-1.69
3173.833333,I1,G-I,G-I,Feb,2017,1.5-1.69
3177.5,VVS,L-M,J-M,Feb,2017,1.5-1.69
2905,VS,L-M,J-M,Feb,2017,1.5-1.69
2574.75,SI,L-M,J-M,Feb,2017,1.5-1.69
1965,I1,L-M,J-M,Feb,2017,1.5-1.69
16573.75,VVS,E-F,E-F,Feb,2017,2.01-2.09
12382.5,VS,E-F,E-F,Feb,2017,2.01-2.09
8231.25,SI,E-F,E-F,Feb,2017,2.01-2.09
4300.5,I1,E-F,E-F,Feb,2017,2.01-2.09
10443.33333,VVS,G-I,G-I,Feb,2017,2.01-2.09
8952.333333,VS,G-I,G-I,Feb,2017,2.01-2.09
6650.833333,SI,G-I,G-I,Feb,2017,2.01-2.09
3854,I1,G-I,G-I,Feb,2017,2.01-2.09
4436,VVS,L-M,J-M,Feb,2017,2.01-2.09
3840,VS,L-M,J-M,Feb,2017,2.01-2.09
3253.75,SI,L-M,J-M,Feb,2017,2.01-2.09
2194.25,I1,L-M,J-M,Feb,2017,2.01-2.09
3463.5,VVS,J-K,J-M,Feb,2017,1.01-1.09
3261.25,VS,J-K,J-M,Feb,2017,1.01-1.09
2845.5,SI,J-K,J-M,Feb,2017,1.01-1.09
1999.5,I1,J-K,J-M,Feb,2017,1.01-1.09
4495,VVS,J-K,J-M,Feb,2017,1.5-1.69
4076.5,VS,J-K,J-M,Feb,2017,1.5-1.69
